,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,port elizabeth,0.0,ZA,1529586000.0,27.0,-33.92,25.57,75.2,8.05
1,punta arenas,40.0,CL,1529586000.0,100.0,-53.16,-70.91,32.0,20.8
2,muros,40.0,ES,1529586000.0,65.0,42.77,-9.06,78.8,6.93
3,kruisfontein,0.0,ZA,1529587809.0,65.0,-34.0,24.73,66.32,9.19
4,jamestown,32.0,SH,1529587809.0,100.0,-15.94,-5.72,70.82,17.13
5,honningsvag,75.0,NO,1529585400.0,93.0,70.98,25.97,46.4,8.05
6,hermanus,0.0,ZA,1529587598.0,47.0,-34.42,19.24,61.75,13.11
7,lorengau,64.0,PG,1529587585.0,100.0,-2.02,147.27,81.19,4.16
9,boa vista,75.0,BR,1529586000.0,83.0,2.82,-60.67,78.8,4.7
10,rikitea,44.0,PF,1529587586.0,100.0,-23.12,-134.97,71.73,7.29
11,north bend,90.0,US,1529586900.0,87.0,43.41,-124.22,57.2,2.93
14,lebu,44.0,CL,1529587813.0,100.0,-37.62,-73.65,52.73,7.85
15,atuona,56.0,PF,1529587813.0,99.0,-9.8,-139.03,81.08,14.0
16,khalkhal,0.0,IR,1529587813.0,38.0,37.62,48.53,68.75,2.37
18,coquimbo,48.0,CL,1529587588.0,100.0,-29.95,-71.34,50.5,5.61
19,jumla,24.0,NP,1529587814.0,95.0,29.28,82.18,37.52,2.71
20,ambulu,88.0,ID,1529587588.0,100.0,-8.35,113.61,77.05,10.65
22,qaanaaq,12.0,GL,1529587814.0,100.0,77.48,-69.36,31.22,2.93
23,albany,32.0,AU,1529587647.0,94.0,-35.02,117.88,51.12,2.93
24,lebu,44.0,CL,1529587813.0,100.0,-37.62,-73.65,52.73,7.85
25,jamestown,32.0,SH,1529587815.0,100.0,-15.94,-5.72,70.82,17.13
26,tasiilaq,92.0,GL,1529585400.0,75.0,65.61,-37.64,41.0,29.97
27,uglovskoye,76.0,RU,1529587817.0,43.0,51.36,80.19,75.32,7.74
28,busselton,68.0,AU,1529587794.0,100.0,-33.64,115.35,60.57,7.29
29,springbok,0.0,ZA,1529587853.0,23.0,-29.67,17.88,65.96,6.17
30,thompson,20.0,CA,1529582400.0,72.0,55.74,-97.86,62.6,5.82
32,rikitea,44.0,PF,1529587586.0,100.0,-23.12,-134.97,71.73,7.29
33,kysyl-syr,0.0,RU,1529587590.0,60.0,63.9,122.77,63.45,4.83
34,victoria,20.0,SC,1529586000.0,74.0,-4.62,55.45,82.4,13.87
35,rikitea,44.0,PF,1529587586.0,100.0,-23.12,-134.97,71.73,7.29
36,jamestown,32.0,SH,1529587815.0,100.0,-15.94,-5.72,70.82,17.13
37,masvingo,12.0,ZW,1529587590.0,34.0,-20.08,30.83,74.8,7.29
38,beringovskiy,64.0,RU,1529587590.0,100.0,63.05,179.32,37.71,4.38
40,tarancon,20.0,ES,1529586000.0,22.0,40.01,-3.01,89.6,3.36
41,albany,32.0,AU,1529587647.0,94.0,-35.02,117.88,51.12,2.93
42,necochea,0.0,AR,1529587591.0,67.0,-38.55,-58.74,47.52,22.73
43,saint-philippe,90.0,RE,1529586000.0,57.0,-21.36,55.77,77.0,6.93
44,port elizabeth,0.0,ZA,1529586000.0,27.0,-33.92,25.57,75.2,8.05
45,shangzhi,0.0,CN,1529587820.0,90.0,45.21,127.96,57.14,4.94
46,grand-santi,32.0,GF,1529587820.0,83.0,4.27,-54.38,80.45,2.59
47,namibe,80.0,AO,1529587592.0,100.0,-15.19,12.15,68.68,5.39
48,nikolskoye,75.0,RU,1529586000.0,77.0,59.7,30.79,62.6,11.18
50,port alfred,0.0,ZA,1529587820.0,63.0,-33.59,26.89,70.37,8.52
51,orotukan,12.0,RU,1529587821.0,41.0,62.26,151.67,56.51,6.96
52,castro,92.0,CL,1529587593.0,99.0,-42.48,-73.76,44.01,7.18
53,busselton,68.0,AU,1529587794.0,100.0,-33.64,115.35,60.57,7.29
54,atuona,56.0,PF,1529587813.0,99.0,-9.8,-139.03,81.08,14.0
55,carberry,75.0,CA,1529586000.0,72.0,49.87,-99.36,68.0,5.82
57,matay,0.0,EG,1529587822.0,24.0,28.42,30.79,99.08,11.65
58,bambous virieux,40.0,MU,1529586000.0,78.0,-20.34,57.76,77.0,5.82
59,mao,20.0,TD,1529587823.0,60.0,14.12,15.31,91.34,5.95
60,te anau,44.0,NZ,1529587595.0,73.0,-45.41,167.72,26.56,2.37
61,villers-les-nancy,75.0,FR,1529586000.0,56.0,48.67,6.15,71.6,16.11
63,east london,0.0,ZA,1529586000.0,60.0,-33.02,27.91,69.8,5.82
64,khasan,8.0,RU,1529587595.0,73.0,42.43,130.64,65.35,7.18
65,isangel,0.0,VU,1529587654.0,100.0,-19.55,169.27,72.72,13.11
66,iwanai,92.0,JP,1529587824.0,98.0,42.97,140.51,57.23,10.65
67,busselton,68.0,AU,1529587794.0,100.0,-33.64,115.35,60.57,7.29
68,avarua,20.0,CK,1529586000.0,83.0,-21.21,-159.78,73.4,6.93
69,rikitea,44.0,PF,1529587586.0,100.0,-23.12,-134.97,71.73,7.29
70,luanda,75.0,AO,1529582400.0,73.0,-8.83,13.24,77.0,9.17
71,bredasdorp,0.0,ZA,1529586000.0,18.0,-34.53,20.04,73.4,23.04
72,busselton,68.0,AU,1529587794.0,100.0,-33.64,115.35,60.57,7.29
73,arraial do cabo,0.0,BR,1529586000.0,73.0,-22.97,-42.02,75.2,4.7
74,bluff,88.0,NZ,1529587597.0,100.0,-46.6,168.33,44.65,3.15
75,vao,88.0,NC,1529587597.0,100.0,-22.67,167.48,71.37,14.12
76,beringovskiy,64.0,RU,1529587590.0,100.0,63.05,179.32,37.71,4.38
77,djambala,12.0,CG,1529587826.0,77.0,-2.55,14.76,79.91,5.06
78,tomatlan,20.0,MX,1529587826.0,64.0,19.93,-105.25,78.74,0.58
79,punta arenas,40.0,CL,1529586000.0,100.0,-53.16,-70.91,32.0,20.8
80,ko samui,20.0,TH,1529584200.0,66.0,9.54,99.94,86.0,7.29
81,hermanus,0.0,ZA,1529587598.0,47.0,-34.42,19.24,61.75,13.11
82,avarua,20.0,CK,1529586000.0,83.0,-21.21,-159.78,73.4,6.93
83,diffa,0.0,NE,1529587827.0,76.0,13.32,12.61,86.03,4.5
84,provideniya,76.0,RU,1529587827.0,100.0,64.42,-173.23,38.24,3.94
85,pimentel,90.0,PE,1529586000.0,93.0,-6.84,-79.94,64.4,4.7
86,beloha,12.0,MG,1529587828.0,68.0,-25.17,45.06,70.19,10.76
87,porto velho,0.0,BR,1529586000.0,61.0,-8.75,-63.87,80.6,4.7
88,lompoc,90.0,US,1529585880.0,100.0,34.64,-120.46,60.8,1.7
89,zavetnoye,0.0,RU,1529587828.0,22.0,47.12,43.89,91.79,10.09
90,saint-joseph,90.0,RE,1529586000.0,57.0,-21.37,55.62,77.0,6.93
92,longyearbyen,75.0,SJ,1529585400.0,75.0,78.22,15.64,42.8,9.17
94,bluff,88.0,NZ,1529587597.0,100.0,-46.6,168.33,44.65,3.15
97,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
98,port alfred,0.0,ZA,1529587820.0,63.0,-33.59,26.89,70.37,8.52
99,rikitea,44.0,PF,1529587586.0,100.0,-23.12,-134.97,71.73,7.29
100,thompson,20.0,CA,1529582400.0,72.0,55.74,-97.86,62.6,5.82
101,san borja,0.0,BO,1529587830.0,65.0,-14.86,-66.75,79.19,3.38
103,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
105,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
106,busselton,68.0,AU,1529587794.0,100.0,-33.64,115.35,60.57,7.29
107,great yarmouth,40.0,GB,1529585400.0,50.0,52.61,1.73,57.2,14.99
108,rikitea,44.0,PF,1529587586.0,100.0,-23.12,-134.97,71.73,7.29
109,rikitea,44.0,PF,1529587586.0,100.0,-23.12,-134.97,71.73,7.29
110,lavrentiya,20.0,RU,1529587602.0,96.0,65.58,-170.99,35.91,10.98
111,sao filipe,0.0,CV,1529587831.0,91.0,14.9,-24.5,75.68,12.77
113,saskylakh,92.0,RU,1529587602.0,66.0,71.97,114.09,61.47,13.0
114,dikson,0.0,RU,1529587832.0,84.0,73.51,80.55,35.99,19.48
115,dikson,0.0,RU,1529587832.0,84.0,73.51,80.55,35.99,19.48
116,bredasdorp,0.0,ZA,1529586000.0,18.0,-34.53,20.04,73.4,23.04
117,tura,92.0,RU,1529587832.0,83.0,64.27,100.22,61.37,2.59
118,san andres,75.0,CO,1529582400.0,94.0,8.22,-76.58,75.2,3.36
119,saint-philippe,90.0,RE,1529586000.0,57.0,-21.36,55.77,77.0,6.93
120,port elizabeth,0.0,ZA,1529586000.0,27.0,-33.92,25.57,75.2,8.05
121,manturovo,0.0,RU,1529587832.0,34.0,58.33,44.76,68.39,13.78
122,jian,44.0,CN,1529587604.0,94.0,27.12,114.98,78.4,2.59
124,castro,92.0,CL,1529587593.0,99.0,-42.48,-73.76,44.01,7.18
125,yellowknife,40.0,CA,1529586000.0,68.0,62.45,-114.38,64.4,11.41
126,saldanha,75.0,ZA,1529586000.0,76.0,-33.01,17.94,60.8,17.22
128,belaya gora,20.0,RU,1529587833.0,53.0,68.54,146.19,61.82,10.87
129,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
130,east london,0.0,ZA,1529586000.0,60.0,-33.02,27.91,69.8,5.82
131,great yarmouth,40.0,GB,1529585400.0,50.0,52.61,1.73,57.2,14.99
132,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
133,ushuaia,90.0,AR,1529586000.0,92.0,-54.81,-68.31,30.2,25.28
134,teahupoo,20.0,PF,1529586000.0,78.0,-17.83,-149.27,75.2,4.7
135,fairbanks,1.0,US,1529585880.0,52.0,64.84,-147.72,66.2,8.05
138,dombarovskiy,0.0,RU,1529587606.0,29.0,50.76,59.54,78.57,17.25
139,clyde river,90.0,CA,1529582400.0,100.0,70.47,-68.59,33.8,8.05
